Qui est la directrice générale des Finances publiques en mars 2024 ?,Amélie Verdier.
Quel document sert de feuille de route stratégique à la DGFiP pour la période 2023-2027 ?,Le Cadre d’objectifs et de moyens (COM).
"En 2024, quel montant les recettes majorées grâce à la lutte contre la fraude fiscale ont-elles atteint ?","11,4 milliards d'euros."
"Quel est le taux de satisfaction des Français envers les services de la DGFiP en 2024, selon le baromètre Delouvrier ?",82%.
Combien d'axes de transformation le Cadre d’objectifs et de moyens (COM) 2023-2027 comporte-t-il ?,7 axes.
"Selon le bilan au 31 décembre 2024, quel pourcentage des actions du COM a une progression satisfaisante ou très satisfaisante ?",84%.
Quel est le taux de satisfaction des collectivités locales pour les prestations apportées par les conseillers aux décideurs locaux (CDL) en 2024 ?,92%.
L'objectif du COM est d'avoir 100% des directions dotées d'au moins un accueil rénové d'ici 2027. Quel était le résultat en 2024 ?,56%.
"En 2024, les droits et pénalités notifiés suite à un contrôle fiscal ont atteint _____ milliards d'euros.","16,7."
"Combien d'emplois ont été créés pour les contrôles fiscaux au cours des trois dernières années, jusqu'en 2024 ?",Près de 800 emplois.
Quel organisme a succédé au Service d’enquêtes judiciaires des finances (SEJF) le 1er mai 2024 ?,L'Office national anti-fraude aux finances publiques (ONAF).
"Selon l'étude de la DGFiP de septembre 2024, le manque à gagner de TVA parmi les entreprises déclarantes est estimé entre _____ et _____ milliards d'euros.",6 et 10.
Quelle direction de la DGFiP est au cœur de la conception et de l’élaboration de la loi fiscale ?,La direction de la législation fiscale (DLF).
Quel est le principal objectif du nouveau protocole signé en juillet 2024 entre la DGFiP et Tracfin ?,Renforcer la qualité du renseignement et les échanges d’informations pour lutter contre la fraude fiscale et financière.
"Grâce aux actions de lutte contre la fraude déclarative en 2024, l'enjeu financier global de la fraude évitée à l'impôt sur le revenu a atteint _____ millions d'euros.",151.
"En 2024, l'intelligence artificielle a participé au ciblage de quel pourcentage des contrôles fiscaux des professionnels ?",56%.
Quelle direction nationale de la DGFiP est spécialisée dans la détection des schémas de fraude et la conduite d'enquêtes fiscales complexes ?,La Direction nationale des enquêtes fiscales (DNEF).
Quel outil juridique indispensable les brigades de la DNEF sont-elles les seules à pouvoir mettre en œuvre pour prouver les fraudes les plus graves ?,Le droit de visite et de saisie (article L16 B du LPF).
"En 2024, combien de rendez-vous ""débiteurs communs"" ont été réalisés conjointement par la DGFiP et l'URSSAF par rapport à 2023 ?",4 fois plus.
"Le montant des encaissements d'amendes a atteint 1 468,5 millions d'euros en 2024, dépassant l'objectif du COM qui était une hausse de _____ d'ici 2027.",20%.
