AFA,Agence française anticorruption
Loi fondatrice de l'AFA,Loi Sapin II du 9 décembre 2016
Six infractions d'atteinte à la probité,"Corruption, trafic d'influence, prise illégale d'intérêts, favoritisme, détournement de fonds publics, concussion"
Réorganisation de l'AFA,"1er décembre 2024, deux sous-directions (acteurs publics / acteurs économiques)"
Observatoire des atteintes à la probité,Département créé lors de la réorganisation pour objectiver le phénomène corruptif
Effectif de l'AFA (31/12/2025),"60 agents (67 % titulaires, 33 % contractuels)"
Budget annuel de fonctionnement de l'AFA,Environ 350 000 euros
Perception de la corruption en France (Eurobaromètre 2025),68 % des Français
CPI,"Indice de perception de la corruption (Transparency International), agrège 8 sources"
Décisions de justice analysées depuis 2021,1 455 décisions
Infractions enregistrées par police/gendarmerie en 2025,1 125 (contre 620 en 2016)
Affaire Urgo,"Contentieux de masse (loi anti-cadeaux, secteur pharmaceutique)"
PNPLC 2025-2029,"Plan national pluriannuel de lutte contre la corruption, publié en novembre 2025"
Loi narcotrafic (13 juin 2025),Renforce les compétences de l'AFA dans les zones portuaires/aéroportuaires
Partenaire de l'AFA sur la criminalité organisée,OCLCIFF (groupe de travail trimestriel depuis 2023)
Signalements reçus par l'AFA (2024 vs 2025),802 puis 2 257 (quasi triplement)
Part des signalements recevables en 2025,11 % (242 signalements)
Contrôles d'acteurs publics engagés en 2025,18 (119 au total depuis 2018)
Programme de contrôle des grandes collectivités,"Depuis 2017, 37 contrôles en 2022-2025"
Actions de sensibilisation aux acteurs publics (2025),107 actions
FedEpl,"Fédération des élus des Entreprises publiques locales, 13 000 élus"
Contrôles d'acteurs économiques depuis 2017,175 (10 nouveaux en 2025)
CJIP conclues depuis 2017,27 conventions judiciaires d'intérêt public
Secteurs prioritaires de contrôle 2025-2026,Santé et activités en milieu pénitentiaire
Article 17 de la loi Sapin II,Oblige les entreprises de plus de 500 salariés et 100 M€ de CA à un dispositif anticorruption
CICAI,"Comité interministériel du contrôle et de l'audit interne, l'AFA en est membre de droit"
Conférence internationale (déc. 2025),"11e conférence des États Partis à la Convention de Mérida, Doha"
